slug,title,date,source,file,audience,hasFeaturedImage,hasInlineFigure,hasNotKentPolice,hasKeyTakeaways,hasSources,hasPublicCta,hasFirmPrimaryCta,hasRepKentLink,hasWixImage,faqFormat,wordCount
"navigating-the-legal-system-understanding-the-impact-of-police-cautions-on-employment-criminal-rec","Understanding Police Cautions in England and Wales: Their Impact on Employment and Travel","2025-09-16","legacy","legacy-79","public","true","true","true","true","false","false","false","false","false","none","881"
"copy-of-what-is-common-assault-in-english-law","What is Common Assault in English Law?","2025-10-02","legacy","legacy-80","public","true","true","true","true","false","false","false","false","false","none","910"
"police-station-representation-do-i-need-it-i-don-t-do-i","Police Station Representation.","2025-10-02","legacy","legacy-81","public","true","true","true","true","false","false","false","false","false","none","713"
"whats-happens-at-a-police-station-voluntary-interview-part-2","Inside a Voluntary Police Interview: What to Expect, Part 2","2025-10-02","legacy","legacy-84","public","true","true","true","true","false","false","false","false","false","none","917"
"police-station-reps-and-agents-for-swanley-police-station","Voluntary Interview At Swanley Police Station","2025-10-02","legacy","legacy-88","public","true","true","true","true","false","false","false","false","false","none","742"
"police-caution","The Police Caution Means? -Police Station Agent","2025-10-02","legacy","legacy-90","public","true","true","true","true","false","false","false","false","false","none","875"
"police-caution-difference","Understanding Police Cautions and Warnings: What You Need to Know","2025-11-10","legacy","legacy-68","public","true","true","true","true","false","false","false","false","false","none","878"
"the-hidden-risks-of-voluntary-police-interviews-in-the-uk-you-need-to-know","The Hidden Risks of Voluntary Police Interviews  or informal chats in the UK You Need to Know","2025-11-30","legacy","legacy-60","public","true","true","true","true","false","false","false","false","false","none","799"
"understanding-community-resolutions-and-their-impact-on-dbs-checks-and-employment","Understanding Community Resolutions and Their Impact on DBS Checks and Employment","2025-12-12","legacy","legacy-5","public","true","true","true","true","false","false","false","false","false","none","842"
"the-role-of-higher-court-advocates-in-the-uk","The Role of Higher Court Advocates in the UK","2025-12-12","legacy","legacy-7","public","true","true","true","true","false","false","false","false","false","none","834"
"how-police-station-reps-safeguard-your-rights","How Police Station Reps Safeguard Your Rights","2025-12-12","legacy","legacy-8","public","true","true","true","true","false","false","false","false","false","none","717"
"understanding-police-cautions-and-warnings-what-you-need-to-know","Understanding Police Cautions and Warnings: What You Need to Know","2025-12-12","legacy","legacy-9","public","true","true","true","true","false","false","false","false","false","none","878"
"what-happens-at-a-police-station-voluntary-interview-part-3","What happens at a Police Station Voluntary Interview - Part 3","2025-12-12","legacy","legacy-11","public","true","true","true","true","false","false","false","false","false","none","747"
"no-further-action-after-police-interview","No Further Action After Police Interview","2025-12-12","legacy","legacy-14","public","true","true","true","true","false","false","false","false","false","none","822"
"complete-guide-to-legal-representation-at-kent-police-stations","Complete Guide to Legal Representation at Kent Police Stations","2025-12-12","legacy","legacy-16","public","true","true","true","true","false","false","false","false","false","none","742"
"what-to-expect-during-a-police-station-interview-in-kent-your-rights-and-legal-representation","What to Expect During a Police Station Interview in Kent: Your Rights and Legal Representation","2025-12-12","legacy","legacy-17","public","true","true","true","true","false","false","false","false","false","none","766"
"how-new-sentencing-guidelines-impact-your-rights-at-the-kent-police-station","How New Sentencing Guidelines Impact Your Rights at the Kent Police Station","2025-12-12","legacy","legacy-22","public","true","true","true","true","false","false","false","false","false","none","754"
"why-you-need-a-criminal-law-specialist","Why You Need a Criminal Law Specialist","2025-12-12","legacy","legacy-23","public","true","true","true","true","false","false","false","false","false","none","826"
"understanding-police-warrants-and-interviews-in-kent","Understanding Police Warrants and Interviews in Kent","2025-12-12","legacy","legacy-24","public","true","true","true","true","false","false","false","false","false","none","734"
"what-happens-if-you-don-t-attend-a-voluntary-police-interview-in-england","What Happens If You Don't Attend a Voluntary Police Interview in England?","2025-12-12","legacy","legacy-25","public","true","true","true","true","false","false","false","false","false","none","748"
"expert-legal-representation-for-police-stations-in-kent","Expert Legal Representation for Police Stations in Kent","2025-12-12","legacy","legacy-26","public","true","true","true","true","false","false","false","false","false","none","738"
"understanding-police-bail-imposition-conditions-breaches-and-legal-implications-explained","Understanding Police Bail: Imposition, Conditions, Breaches, and Legal Implications Explained","2025-12-12","legacy","legacy-27","public","true","true","true","true","false","false","false","false","false","none","794"
"the-unseen-errors-navigating-common-pitfalls-in-police-station-interviews","The Unseen Errors: Navigating Common Pitfalls in Police Station Interviews","2025-12-12","legacy","legacy-28","public","true","true","true","true","false","false","false","false","false","none","746"
"getting-your-property-returned-by-the-police-in-the-uk","Getting Your Property Returned By The Police In The UK","2025-12-12","legacy","legacy-30","public","true","true","true","true","false","false","false","false","false","none","771"
"what-is-the-sex-offender-register","What is the Sex Offender Register?","2025-12-12","legacy","legacy-31","public","true","true","true","true","false","false","false","false","false","none","822"
"understanding-the-role-of-a-duty-solicitor-everything-you-need-to-know","Understanding the Role of a Duty Solicitor: Everything You Need to Know","2025-12-12","legacy","legacy-32","public","true","true","true","true","false","false","false","false","false","none","742"
"released-under-investigation-versus-bail","Released Under Investigation Versus Bail","2025-12-12","legacy","legacy-34","public","true","true","true","true","false","false","false","false","false","none","789"
"what-does-a-criminal-solicitor-do-part-2-the-magistrates-court","What Does A Criminal Solicitor Do? Part 2 - The Magistrates Court","2025-12-12","legacy","legacy-36","public","true","true","true","true","false","false","false","false","false","none","846"
"voluntary-interview-no-further-action","Voluntary Interview - No Further Action","2025-12-12","legacy","legacy-37","public","true","true","true","true","false","false","false","false","false","none","742"
"what-does-a-criminal-solicitor-do-part-one-police-station-representation-the-initial-job","What Does A Criminal Solicitor Do?   Part One - Police Station Representation - The Initial Job","2025-12-12","legacy","legacy-38","public","true","true","true","true","false","false","false","false","false","none","726"
"what-is-common-assault-in-english-law","What is Common Assault in English Law?","2025-12-12","legacy","legacy-39","public","true","true","true","true","false","false","false","false","false","none","826"
"what-police-stations-in-kent-do-you-cover-and-can-send-police-station-reps-or-agents-to","What Police Stations In Kent Do You Cover And Can Send Police Station Reps or Agents To?","2025-12-12","legacy","legacy-40","public","true","true","true","true","false","false","false","false","false","none","727"
"inside-a-voluntary-police-interview-what-to-expect-part-2","Inside a Voluntary Police Interview: What to Expect, Part 2","2025-12-12","legacy","legacy-42","public","true","true","true","true","false","false","false","false","false","none","746"
"voluntary-interview-at-swanley-police-station","Voluntary Interview At Swanley Police Station","2025-12-12","legacy","legacy-43","public","true","true","true","true","false","false","false","false","false","none","742"
"i-think-i-may-be-arrested-by-the-police-what-should-i-do","I Think I May Be Arrested By The Police. What Should I Do?","2025-12-12","legacy","legacy-44","public","true","true","true","true","false","false","false","false","false","none","850"
"have-to-attend-a-police-station-part-2","Have to attend a Police Station?  Part 2","2025-12-12","legacy","legacy-45","public","true","true","true","true","false","false","false","false","false","none","738"
"have-to-attend-a-police-station","Have to attend a Police Station ?","2025-12-12","legacy","legacy-46","public","true","true","true","true","false","false","false","false","false","none","734"
"what-is-a-duty-solicitor","What is a Duty Solicitor?","2025-12-12","legacy","legacy-47","public","true","true","true","true","false","false","false","false","false","none","735"
"help-the-police-have-contacted-me","Help? The Police Have Contacted Me!","2025-12-12","legacy","legacy-48","public","true","true","true","true","false","false","false","false","false","none","822"
"police-station-disclosure-by-police-station-agent","Police Station Disclosure By Police Station Agent","2025-12-12","legacy","legacy-49","public","true","true","true","true","false","false","false","false","false","none","734"
"the-police-caution-means-police-station-agent","The Police Caution Means? -Police Station Agent","2025-12-12","legacy","legacy-50","public","true","true","true","true","false","false","false","false","false","none","875"
"police-station-agent-blog","Police Station Agent Blog","2025-12-12","legacy","legacy-51","public","true","true","true","true","false","false","false","false","false","none","722"
"police-station-representation","Police Station Representation.","2025-12-12","legacy","legacy-52","public","true","true","true","true","false","false","false","false","false","none","713"
"what-s-a-voluntary-police-interview","What's A Voluntary Police Interview?","2025-12-12","legacy","legacy-53","public","true","true","true","true","false","false","false","false","false","none","741"
"what-happens-at-a-police-station-interview-in-kent","What Happens at a Police Station Interview in Kent","2025-12-13 19:28:43","legacy","legacy-1","public","true","true","true","true","false","false","false","false","false","none","741"
"do-i-need-a-solicitor-at-a-police-station-interview","Do I Need a Solicitor at a Police Station Interview?","2025-12-13 19:28:43","legacy","legacy-2","public","true","true","true","true","false","true","false","false","false","none","862"
"what-is-police-station-representation","What Is Police Station Representation?","2025-12-13 19:28:43","legacy","legacy-3","public","true","true","true","true","false","false","false","false","false","none","715"
"why-you-need-a-criminal-solicitor-in-the-police-station","Why you need a criminal solicitor in the police station","2025-12-12","canonical","2025-12-12-why-you-need-a-criminal-solicitor-in-the-police-station.json","public","true","true","true","true","false","false","false","false","false","q/a","1227"
"domestic-allegations-police-station-stage","Domestic-Related Allegations at the Police Station Stage","2026-02-02","canonical","2026-02-02-domestic-allegations-police-station-stage.json","public","true","true","true","false","false","false","false","false","false","q/a","635"
"drug-allegations-police-station-interviews","Drug-Related Allegations and Police Station Interviews","2026-02-02","canonical","2026-02-02-drug-allegations-police-station-interviews.json","public","true","true","true","false","false","false","false","false","false","q/a","695"
"how-digital-evidence-voluntary-police-interview","How Digital Evidence Can Be Used in a Voluntary Police Interview – What You Need to Know","2026-02-02","canonical","2026-02-02-how-digital-evidence-voluntary-police-interview.json","public","true","true","true","false","false","false","false","false","false","q/a","1127"
"motoring-driving-allegations-police-station","Motoring and Driving Allegations Investigated at the Police Station","2026-02-02","canonical","2026-02-02-motoring-driving-allegations-police-station.json","public","true","true","true","false","false","false","false","false","false","q/a","625"
"sexual-allegations-police-station-stage","Sexual Allegations and the Police Station Stage: An Overview","2026-02-02","canonical","2026-02-02-sexual-allegations-police-station-stage.json","public","true","true","true","false","false","false","false","false","false","q/a","628"
"theft-fraud-financial-police-station","Theft, Fraud and Financial Allegations at the Police Station","2026-02-02","canonical","2026-02-02-theft-fraud-financial-police-station.json","public","true","true","true","false","false","false","false","false","false","q/a","684"
"types-of-offences-police-station-stage","Types of Offences Commonly Dealt With at the Police Station Stage","2026-02-02","canonical","2026-02-02-types-of-offences-police-station-stage.json","public","true","true","true","false","false","false","false","false","false","q/a","1165"
"violence-public-order-police-station-stage","Violence and Public Order Allegations at the Police Station Stage","2026-02-02","canonical","2026-02-02-violence-public-order-police-station-stage.json","public","true","true","true","false","false","false","false","false","false","q/a","698"
"what-happens-if-charged-criminal-offence-court","What Happens If You Are Charged With a Criminal Offence? What to Expect at Court","2026-02-02","canonical","2026-02-02-what-happens-if-charged-criminal-offence-court.json","public","true","true","true","false","false","false","false","false","false","q/a","1109"
"immediate-family-instruct-police-station-solicitor","Immediate Family and Police Station Representation","2026-05-30","canonical","2026-05-30-immediate-family-instruct-solicitor.json","public","true","true","true","true","true","true","false","false","false","q/a","704"
"kent-custody-after-arrest-process","Kent Custody Suites: What Happens After Arrest","2026-05-30","canonical","2026-05-30-kent-custody-after-arrest.json","public","true","true","true","true","true","true","false","false","false","q/a","738"
"released-under-investigation-kent-plain-english","Released Under Investigation in Kent: Plain English","2026-05-30","canonical","2026-05-30-rui-kent-plain-english.json","public","true","true","true","true","true","true","false","false","false","q/a","699"
"custody-record-number-dscc-reference","Custody Record Numbers and DSCC References Explained for Families","2026-06-12","canonical","2026-06-12-custody-record-number-dscc-reference.json","public","true","true","true","true","true","true","false","false","false","q/a","1081"
"who-attends-police-station-legal-advice","Who Attends When You Ask for Legal Advice at the Police Station","2026-06-12","canonical","2026-06-12-freelance-police-station-agents-for-solicitors.json","public","true","true","true","true","true","true","false","false","false","q/a","642"
"arrange-solicitor-someone-in-custody","How to Arrange a Solicitor When Someone Is in Custody","2026-06-12","canonical","2026-06-12-instructing-a-police-station-representative.json","public","true","true","true","true","true","true","false","false","false","q/a","607"
"north-kent-gravesend-custody-legal-advice","Legal Advice at North Kent (Gravesend) Custody Suite","2026-06-12","canonical","2026-06-12-north-kent-gravesend-custody-legal-advice.json","public","true","true","true","true","true","true","false","false","false","q/a","1473"
"police-station-attendance-notes","What Your Solicitor Records After a Police Station Visit","2026-06-12","canonical","2026-06-12-police-station-attendance-notes.json","public","true","true","true","true","true","true","false","false","false","q/a","659"
"legal-advice-medway-custody-kent","Legal Advice at Medway Custody in Kent","2026-06-12","canonical","2026-06-12-police-station-cover-firms-kent-medway.json","public","true","true","true","true","true","true","false","false","false","q/a","590"
"tonbridge-police-station-custody-and-interviews","Tonbridge Police Station: Custody and Voluntary Interview Advice","2026-06-12","canonical","2026-06-12-tonbridge-police-station-custody-and-interviews.json","public","true","true","true","true","true","true","false","false","false","q/a","1211"
"when-to-ask-for-solicitor-kent-police-station","When to Ask for a Solicitor at a Kent Police Station","2026-06-12","canonical","2026-06-12-when-to-instruct-police-station-agent.json","public","true","true","true","true","true","true","false","false","false","q/a","678"
